股票代码,股票名称,交易市场,交易日,开盘价,收盘价,最高价,最低价,成交量（单位手）,成交额（单位万元）,换手率
000001,上证指数,1,2010-01-04,3289.75,3243.76,3295.28,3243.32,122446260,13646414,0.33;
000001,上证指数,1,2010-01-05,3254.47,3282.18,3290.51,3221.46,142274964,16533938,0.38;
000001,上证指数,1,2010-01-06,3277.52,3254.22,3295.87,3253.04,135131302,16028442,0.36;
000001,上证指数,1,2010-01-07,3253.99,3192.78,3268.82,3176.71,145228704,16053382,0.39;
000001,上证指数,1,2010-01-08,3177.26,3196.0,3198.92,3149.02,114602542,12481362,0.3;
000001,上证指数,1,2010-01-11,3301.61,3212.75,3306.75,3197.33,161502183,18251487,0.43;
000001,上证指数,1,2010-01-12,3205.71,3273.97,3275.2,3180.08,159128745,17784422,0.42;
000001,上证指数,1,2010-01-13,3204.98,3172.66,3232.82,3165.49,185213143,20236060,0.49;
000001,上证指数,1,2010-01-14,3183.38,3215.55,3219.02,3165.6,151986663,17120854,0.4;
000001,上证指数,1,2010-01-15,3217.19,3224.15,3241.81,3197.22,131414090,15364333,0.35;
000001,上证指数,1,2010-01-18,3213.64,3237.1,3238.24,3202.21,145703541,17172645,0.39;
000001,上证指数,1,2010-01-19,3242.22,3246.87,3268.81,3236.84,144950163,16577483,0.39;
000001,上证指数,1,2010-01-20,3252.04,3151.85,3255.13,3148.33,172555631,19539420,0.46;
000001,上证指数,1,2010-01-21,3154.19,3158.86,3176.15,3126.9,132639666,14569426,0.35;
000001,上证指数,1,2010-01-22,3118.72,3128.59,3147.83,3062.63,156427044,16721841,0.42;
000001,上证指数,1,2010-01-25,3103.32,3094.41,3137.0,3092.93,93994068,9807051,0.25;
000001,上证指数,1,2010-01-26,3094.85,3019.39,3107.2,3001.96,109494648,11234808,0.29;
000001,上证指数,1,2010-01-27,3020.54,2986.61,3028.65,2972.63,93150252,9340985,0.25;
000001,上证指数,1,2010-01-28,2985.21,2994.14,3006.04,2963.89,85167126,8782885,0.23;
000001,上证指数,1,2010-01-29,2979.74,2989.29,3024.85,2968.45,91271121,9762517,0.24;
000001,上证指数,1,2010-02-01,2981.37,2941.36,2981.37,2912.89,100564350,10591213,0.27;
000001,上证指数,1,2010-02-02,2955.75,2934.71,2990.75,2930.56,93734933,9963789,0.25;
000001,上证指数,1,2010-02-03,2945.03,3003.83,3005.13,2890.02,119005326,12226176,0.32;
000001,上证指数,1,2010-02-04,2983.05,2995.31,3015.13,2968.68,111441894,11673700,0.3;
000001,上证指数,1,2010-02-05,2936.2,2939.4,2959.23,2918.91,107746152,11275403,0.29;
000001,上证指数,1,2010-02-08,2936.45,2935.17,2954.27,2922.19,68452323,7413492,0.18;
000001,上证指数,1,2010-02-09,2932.09,2948.84,2957.47,2929.21,69093618,6930477,0.18;
000001,上证指数,1,2010-02-10,2967.14,2982.5,2983.18,2958.22,62322403,6817745,0.17;
000001,上证指数,1,2010-02-11,2985.08,2985.5,3001.64,2976.08,62462059,6579630,0.17;
000001,上证指数,1,2010-02-12,2996.09,3018.13,3018.86,2993.44,60694995,6772389,0.16;
000001,上证指数,1,2010-02-22,3016.7,3003.4,3026.66,3002.81,75193873,7998008,0.2;
000001,上证指数,1,2010-02-23,2998.91,2982.57,2998.91,2938.75,89011528,9981544,0.24;
000001,上证指数,1,2010-02-24,2964.98,3022.18,3023.74,2955.07,99625941,10678105,0.27;
000001,上证指数,1,2010-02-25,3026.66,3060.62,3063.0,3022.37,130544489,14096059,0.35;
000001,上证指数,1,2010-02-26,3053.5,3051.94,3067.52,3041.69,109599886,12274144,0.29;
000001,上证指数,1,2010-03-01,3057.01,3087.84,3093.09,3054.55,120949909,13285873,0.32;
000001,上证指数,1,2010-03-02,3089.71,3073.11,3095.99,3060.96,113653846,12595973,0.3;
